serial_no,round_no,period,city,age,gender,occupation_of_respondent,annual_income,no_of_family_members,education_qualification,number_of_earning_members,perception_on_general_economic_condition_u_fffd_compared_to_one_year_ago,outlook_on_general_economic_condition_u_fffd_one_year_ahead,perception_on_household_circumstances_u_fffd_compared_to_one_year_ago,outlook_on_household_circumstances_u_fffd_one_year_ahead,perception_on_household_income_u_fffd_compared_to_one_year_ago,outlook_on_household_income_u_fffd_one_year_ahead,perception_on_household_spending_u_fffd_compared_to_one_year_ago,outlook_on_household_spending_u_fffd_one_year_ahead,perception_on_employment_scenario_u_fffd_compared_to_one_year_ago,outlook_on_employment_scenario_u_fffd_one_year_ahead,perception_on_general_price_levels_u_fffd_compared_to_one_year_ago,outlook_on_general_price_levels_u_fffd_one_year_ahead,perception_on_inflation_u_fffd_compared_to_one_year_ago,outlook_on_inflation_u_fffd_one_year_ahead
2208,22,DEC-14,Hyderabad,22-29,Male,Unemployed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Remained almost unchanged,Will remain almost unchanged,NA,NA
2209,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,Same as current year
2210,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 3 - 5 lakhs,5 and more,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Increased,Increase,Remained the same,Neither increase nor decrease,Remained the same,Will improve,Remained almost unchanged,Will go up,NA,More than current year
2211,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 3 - 5 lakhs,1 or 2,Graduate & above,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Remained the same,Decrease,Improved,Will improve,Remained almost unchanged,Will remain almost unchanged,NA,NA
2212,22,DEC-14,Hyderabad,30-39,Male,Daily Worker,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will improve,Remained almost unchanged,Will go up,NA,More than current year
2213,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
2214,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Improve,Difficult to say,Will be better off,Increased,Increase,Remained the same,Increase,Improved,Will improve,Gone up,Will go down,More than last year,NA
2215,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Remained almost unchanged,Will go up,NA,More than current year
2216,22,DEC-14,Hyderabad,22-29,Male,Unemployed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Remained the same,Will improve,Gone up,Will go down,Same as last year,NA
2217,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
2218,22,DEC-14,Hyderabad,22-29,Female,Unemployed,Rs. 3 - 5 lakhs,3 or 4,Graduate & above,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Remained the same,Decrease,Remained the same,Will improve,Gone up,Will go down,Same as last year,NA
2219,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 3 - 5 lakhs,1 or 2,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
2220,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,2,Improved,Will Remain the Same,Somewhat better off,Will Remain the Same,Remained the same,Remain the same,Remained the same,Decrease,Remained the same,Will improve,Remained almost unchanged,Will remain almost unchanged,NA,NA
2221,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,Same as last year,More than current year
2222,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 3 - 5 lakhs,1 or 2,Graduate & above,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Increase,Remained the same,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
2223,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Remained the same,Will Remain the Same,Gone up,Will remain almost unchanged,Same as last year,NA
2224,22,DEC-14,Hyderabad,40-59,Male,Daily Worker,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Neither increase nor decrease,Remained the same,Will improve,Remained almost unchanged,Will remain almost unchanged,NA,NA
2225,22,DEC-14,Hyderabad,30-39,Female,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Remain the same,Increased,Decrease,Improved,Will improve,Gone up,Will go up,Same as last year,More than current year
2226,22,DEC-14,Hyderabad,40-59,Male,Daily Worker,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Improved,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will remain almost unchanged,More than last year,NA
2227,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Increase,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will remain almost unchanged,Same as last year,NA
2228,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 5 lakhs or more,5 and more,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Remain the same,Remained the same,Decrease,Improved,Will improve,Gone up,Will go down,Same as last year,NA
2229,22,DEC-14,Hyderabad,30-39,Female,Employed,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
2230,22,DEC-14,Hyderabad,22-29,Male,Unemployed,Rs. 1 - 3 lakhs,5 and more,Below Graduate,2,Remained the same,Will Improve,Difficult to say,Will be better off,Increased,Increase,Remained the same,Decrease,Improved,Will improve,Gone up,Will go down,Same as last year,NA
2231,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will remain almost unchanged,Same as last year,NA
2232,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Improved,Will Remain the Same,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
2233,22,DEC-14,Hyderabad,40-59,Male,Employed,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Decrease,Remained the same,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
2234,22,DEC-14,Hyderabad,40-59,Male,Self employed/Business,Rs. 3 - 5 lakhs,3 or 4,Up to primary,1,Improved,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Increase,Increased,Decrease,Remained the same,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
2235,22,DEC-14,Hyderabad,22-29,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Graduate & above,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
2236,22,DEC-14,Hyderabad,30-39,Female,Daily Worker,Rs. 1 - 3 lakhs,3 or 4,Up to primary,2,Remained the same,Will Improve,Somewhat better off,Will Remain the Same,Remained the same,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go down,More than last year,NA
2237,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Remained the same,Will Improve,Difficult to say,Will Remain the Same,Remained the same,Increase,Increased,Decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,Same as current year
2238,22,DEC-14,Hyderabad,40-59,Male,Employed,Rs. 5 lakhs or more,3 or 4,Up to primary,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
2239,22,DEC-14,Hyderabad,30-39,Female,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
2240,22,DEC-14,Hyderabad,22-29,Male,Unemployed,Rs. 5 lakhs or more,5 and more,Below Graduate,1,Improved,Will Improve,Difficult to say,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,Same as current year
2241,22,DEC-14,Hyderabad,30-39,Female,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
2242,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Remained the same,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
2243,22,DEC-14,Hyderabad,40-59,Male,Daily Worker,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Improved,Will Improve,Difficult to say,Will Remain the Same,Increased,Remain the same,Increased,Neither increase nor decrease,Improved,Will Remain the Same,Gone up,Will remain almost unchanged,More than last year,NA
2244,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Increased,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,Same as current year
2245,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,1 or 2,Up to primary,1,Improved,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2246,22,DEC-14,Hyderabad,22-29,Male,Daily Worker,Rs. 1 - 3 lakhs,3 or 4,Up to primary,2,Improved,Will Improve,Difficult to say,Will be better off,Increased,Increase,Remained the same,Increase,Improved,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
2247,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Improved,Will Improve,Difficult to say,Will be better off,Remained the same,Remain the same,Decreased,Decrease,Remained the same,Will improve,Remained almost unchanged,Will go up,NA,Same as current year
2248,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Difficult to say,Will Remain the Same,Increased,Increase,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will remain almost unchanged,Same as last year,NA
2249,22,DEC-14,Hyderabad,22-29,Male,Self employed/Business,Rs. 3 - 5 lakhs,3 or 4,Up to primary,4,Remained the same,Will Improve,Somewhat better off,Will be better off,Decreased,Increase,Increased,Increase,Worsen,Will improve,Remained almost unchanged,Will go down,NA,NA
2250,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 3 - 5 lakhs,5 and more,Graduate & above,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Improved,Will Remain the Same,Gone up,Will go up,Same as last year,Same as current year
2251,22,DEC-14,Hyderabad,22-29,Female,Unemployed,Rs. 1 lakh or less,5 and more,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will go up,NA,Same as current year
2252,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 5 lakhs or more,3 or 4,Up to primary,1,Improved,Will Remain the Same,Somewhat better off,Will be better off,Increased,Increase,Decreased,Decrease,Improved,Will improve,Gone down,Will go down,NA,NA
2253,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Remained the same,Will Improve,Difficult to say,Will be better off,Increased,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
2254,22,DEC-14,Hyderabad,40-59,Male,Self employed/Business,Rs. 3 - 5 lakhs,5 and more,Below Graduate,2,Improved,Will Improve,Difficult to say,Will be better off,Increased,Increase,Increased,Decrease,Remained the same,Will improve,Gone up,Will go down,Same as last year,NA
2255,22,DEC-14,Hyderabad,22-29,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Remained the same,Will improve,Gone up,Will go down,Same as last year,NA
2256,22,DEC-14,Hyderabad,40-59,Male,Retired/Pensioner,Rs. 5 lakhs or more,5 and more,Below Graduate,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will go down,Same as last year,NA
2257,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Worsen,Will Remain the Same,Somewhat worse off,Will be worsen,Increased,Remain the same,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
2258,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Remained the same,Decrease,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
2259,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,2,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Remained the same,Increase,Increased,Increase,Worsen,Will worsen,Gone up,Will remain almost unchanged,Same as last year,NA
2260,22,DEC-14,Hyderabad,40-59,Male,Daily Worker,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Worsen,Will Worsen,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
2261,22,DEC-14,Hyderabad,40-59,Female,Daily Worker,Rs. 1 lakh or less,1 or 2,Up to primary,1,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Remained the same,Remain the same,Increased,Increase,Worsen,Will worsen,Gone up,Will remain almost unchanged,Same as last year,NA
2262,22,DEC-14,Hyderabad,40-59,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Worsen,Will Worsen,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
2263,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Increased,Increase,Increased,Decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
